consumption,i
1080939.6599999976,Node_0
688210.8666666676,Node_1
1105132.45333333,Node_2
593433.1933333335,Node_3
611637.9599999987,Node_4
498947.1033333333,Node_5
253863.18666666688,Node_6
841301.3533333336,Node_7
869176.2766666671,Node_8
618409.9799999986,Node_9
682402.8399999994,Node_10
554146.2,Node_11
492274.783333333,Node_12
445628.590000001,Node_13
543026.7033333336,Node_14
24339.076666666668,Node_15
544203.3833333333,Node_16
529165.0233333355,Node_17
157048.35666666654,Node_18
594667.9999999992,Node_19
909872.5866666631,Node_20
136025.79666666663,Node_21
613712.8733333346,Node_22
376907.6933333337,Node_23
1041186.4233333358,Node_24
4488.876666666667,Node_25
542956.8966666671,Node_26
11348.57,Node_27
820106.116666665,Node_28
218426.0633333333,Node_29
574663.3766666678,Node_30
230416.71000000002,Node_31
386902.7433333333,Node_32
965355.5466666629,Node_33
296972.11666666664,Node_34
255449.08,Node_35
919549.7333333327,Node_36
413404.2966666665,Node_37
278750.78666666645,Node_38
282525.77333333297,Node_39
224071.81666666677,Node_40
288130.21000000014,Node_41
202152.70333333334,Node_42
156661.93333333335,Node_43
119053.13000000015,Node_44
102917.18333333326,Node_45
303455.46666666656,Node_46
24544.493333333332,Node_47
23114.966666666667,Node_48
19998.31333333333,Node_49
115505.66666666682,Node_50
166955.79333333333,Node_51
278466.3033333332,Node_52
412211.38333333173,Node_53
109919.52666666664,Node_54
304767.5133333336,Node_55
137129.4666666667,Node_56
57407.62333333334,Node_57
17656.38,Node_58
309235.0333333332,Node_59
130420.98333333334,Node_60
187580.89,Node_61
208707.6566666667,Node_62
726018.7133333315,Node_63
44672.88,Node_64
58226.46,Node_65
1175812.373333334,Node_66
12505.143333333333,Node_67
1321910.9600000065,Node_68
1320351.566666664,Node_69
1111222.2666666626,Node_70
633976.3033333332,Node_71
794251.663333329,Node_72
529357.183333333,Node_73
609350.9966666669,Node_74
590740.3666666674,Node_75
460882.26999999955,Node_76
611022.0933333352,Node_77
552737.4199999996,Node_78
440111.3499999995,Node_79
814259.7833333332,Node_80
81297.89333333333,Node_81
854408.9566666696,Node_82
150028.4633333334,Node_83
144230.17000000004,Node_84
451581.73000000045,Node_85
917946.7699999968,Node_86
100852.51000000007,Node_87
107172.95000000006,Node_88
107749.3333333335,Node_89
100478.43333333333,Node_90
396716.6966666671,Node_91
251066.87333333335,Node_92
304800.15666666644,Node_93
121827.32333333322,Node_94
74052.15,Node_95
56561.183333333334,Node_96
95487.66333333333,Node_97
286352.06999999983,Node_98
367939.7533333332,Node_99
288968.1066666675,Node_100
20245.77333333333,Node_101
14378.079999999998,Node_102
44303.13999999999,Node_103
132364.26333333334,Node_104
1455452.3466666657,Node_105
58469.09999999999,Node_106
161225.41000000024,Node_107
10605.3,Node_108
1067370.0600000015,Node_109
