bus;type;Qmax;Qmin;Pmax;Pmin
Node_0;pv;0;0;0.058617003;0
Node_1;pv;0;0;0.002292765;0
Node_2;pv;0;0;0.02521226;0
Node_3;pv;0;0;0.02046199;0
Node_4;pv;0;0;0.067513178;0
Node_5;pv;0;0;0.062033834;0
Node_6;pv;0;0;0.081787145;0
Node_7;pv;0;0;0.007969785;0
Node_8;pv;0;0;0.038678067;0
Node_9;pv;0;0;0.002731546;0
Node_10;pv;0;0;0.020042799;0
Node_11;pv;0;0;0.046326511;0
Node_12;pv;0;0;0.002432583;0
Node_13;pv;0;0;0.01822768;0
Node_14;pv;0;0;0.059575667;0
Node_15;pv;0;0;0.049955423;0
Node_16;pv;0;0;0.02020805;0
Node_17;pv;0;0;0.054018675;0
Node_18;pv;0;0;0.074201437;0
Node_19;pv;0;0;0.000595749;0
Node_20;pv;0;0;0.073870394;0
Node_21;pv;0;0;0.063999256;0
Node_22;pv;0;0;0.031191163;0
Node_23;pv;0;0;0.014252988;0
Node_24;pv;0;0;0.087748843;0
Node_25;pv;0;0;0.030856016;0
Node_26;pv;0;0;0.00850212;0
Node_27;pv;0;0;0.008866103;0
Node_28;pv;0;0;0.077690801;0
Node_29;pv;0;0;0.055344272;0
Node_30;pv;0;0;0.073990394;0
Node_31;pv;0;0;0.066895367;0
Node_32;pv;0;0;0.049156657;0
Node_33;pv;0;0;0.089206661;0
Node_34;pv;0;0;0.034700689;0
Node_35;pv;0;0;0.050606211;0
Node_36;pv;0;0;0.076032496;0
Node_37;pv;0;0;0.05670043;0
Node_38;pv;0;0;0.07899368;0
Node_39;pv;0;0;0.052926547;0
Node_40;pv;0;0;0.064588925;0
Node_41;pv;0;0;0.004200775;0
Node_42;pv;0;0;0.020891702;0
Node_43;pv;0;0;0.026528533;0
Node_44;pv;0;0;0.007314624;0
Node_45;pv;0;0;0.021340213;0
Node_46;pv;0;0;0.009258919;0
Node_47;pv;0;0;0.025482166;0
Node_48;pv;0;0;0.058273937;0
Node_49;pv;0;0;0.033444593;0
Node_50;pv;0;0;0.033934923;0
Node_51;pv;0;0;0.019205755;0
Node_52;pv;0;0;0.024474169;0
Node_53;pv;0;0;0.085864222;0
Node_54;pv;0;0;0.059406162;0
Node_55;pv;0;0;0.055839752;0
Node_56;pv;0;0;0.01568848;0
Node_57;pv;0;0;0.066839907;0
Node_58;pv;0;0;0.014979298;0
Node_59;pv;0;0;0.034785124;0
Node_60;pv;0;0;0.090710764;0
Node_61;pv;0;0;0.058669527;0
Node_62;pv;0;0;0.051056235;0
Node_63;pv;0;0;0.06275939;0
Node_64;pv;0;0;0.077265222;0
Node_65;pv;0;0;0.07113682;0
Node_66;pv;0;0;0.020997105;0
Node_67;pv;0;0;0;0
Node_68;pv;0;0;0.002942667;0
Node_69;pv;0;0;0.02891795;0
Node_70;pv;0;0;0.024544119;0
Node_71;pv;0;0;0.019341044;0
Node_72;pv;0;0;0.086437637;0
Node_73;pv;0;0;0.080337646;0
Node_74;pv;0;0;0.02884689;0
Node_75;pv;0;0;0.06008483;0
Node_76;pv;0;0;0.036268039;0
Node_77;pv;0;0;0.083837648;0
Node_78;pv;0;0;0.042063486;0
Node_79;pv;0;0;0.024281875;0
Node_80;pv;0;0;0.022608632;0
Node_81;pv;0;0;0.051461274;0
Node_82;pv;0;0;0.024085831;0
Node_83;pv;0;0;0.053589682;0
Node_84;pv;0;0;0.082304475;0
Node_85;pv;0;0;0.036613512;0
Node_86;pv;0;0;0.020105391;0
Node_87;pv;0;0;0.09144544;0
Node_88;pv;0;0;0.046708872;0
Node_89;pv;0;0;0.008333772;0
Node_90;pv;0;0;0.004319213;0
Node_91;pv;0;0;0.010051664;0
Node_92;pv;0;0;0.057518713;0
Node_93;pv;0;0;0.072610842;0
Node_94;pv;0;0;0.038699898;0
Node_95;pv;0;0;0.005823659;0
Node_96;pv;0;0;0.034983487;0
Node_97;pv;0;0;0.091315613;0
Node_98;pv;0;0;0.048504531;0
Node_99;pv;0;0;0.089019892;0
Node_100;pv;0;0;0.078908683;0
Node_101;pv;0;0;0.001052479;0
Node_102;pv;0;0;0.066069413;0
Node_103;pv;0;0;0.062493187;0
Node_104;pv;0;0;0.049224699;0
Node_105;pv;0;0;0.024460177;0
Node_106;pv;0;0;0.058757718;0
Node_107;pv;0;0;0.010226118;0
Node_108;pv;0;0;0.039855439;0
Node_109;pv;0;0;0.041593383;0
